id,street,city,state,zip_code,phone_number
1,"163 W Mountain Ave","Fort Collins",CO,80524,970-221-9000
2,"205 North College Ave","Fort Collins",CO,80524,970-498-8898
3,"1215 Main Street Unit I",Windsor,CO,80550,970-686-9967
4,"59 S State St",Orem,UT,84058,801-802-7777
5,"59 S State St",Orem,UT,84058,801-802-7777
6,"59 S State St",Orem,UT,84058,801-802-7777
